stage,run_name,run_id,state,commit,bridge_width_m,bridge_half_width_m,virtual_hw_min_m,episode_length_arg,num_timesteps_arg,Kp,action_scale,history_len,max_foot_height,success,fall,avg_episode_length,episode_reward,frontier_delta_reward,foot_off_virtual_reward,foot_off_bridge_reward,feet_stale_air_reward,success_reward,termination_reward,max_foot_y_metric,contact_left_metric,contact_right_metric,touchdown_count_metric
0,final_stage00_0.8m,g9lljyko,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.8,0.4,0.15,1000,150000000,35,0.5,3,0.08,1,0,479.1953125,344.7222900390625,14198.75390625,-3.7322943210601807,0,-0.06156272068619728,5000,0,74.35045623779297,278.86328125,310.9140625,79.84375
1,final_stage01_0.4m,k8zxw240,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.4,0.2,0.1,1000,100000000,35,0.5,3,0.08,1,0,482.7421875,348.2765197753906,14285.8017578125,-11.979256629943848,0,-0.6268762350082397,5000,0,49.33214569091797,350.4765625,264.3671875,83.1171875
2,final_stage02_0.32m,fqn3o0r5,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.32,0.16,0.08,1000,100000000,35,0.5,3,0.08,0.9921875,0.0078125,470.0234375,322.9716491699219,13848.8828125,-28.253551483154297,0,-11.121248245239258,4960.9375,-1.5625,39.65735626220703,230.81640625,310.36328125,130.9140625
3,final_stage03_0.24m,821fmrua,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.24,0.12,0.06,1000,150000000,35,0.5,3,0.08,1,0,477.671875,336.2003173828125,14076.8984375,-27.54750061035156,0,-4.782500267028809,5000,0,27.583768844604492,254.8125,314.23046875,106.6015625
4,final_stage04_0.20m,515xr9s3,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.2,0.1,0.05,1500,150000000,35,0.5,3,0.08,1,0,472.375,324.258056640625,13862.705078125,-48.55643081665039,0,-7.8324995040893555,5000,0,24.290618896484375,231.3203125,312.9296875,125.1328125
5,final_stage05_0.16m,pwpx0dia,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.16,0.08,0.05,1500,200000000,35,0.5,3,0.08,0.921875,0.078125,462.5625,278.3155517578125,13021.607421875,-106.49227905273438,-41.40625,-48.9224853515625,4609.375,-15.625,25.655357360839844,255.828125,211.34375,169.4140625
6,final_stage06_0.13m,9hyn9pp3,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.13,0.065,0.045,1500,150000000,35,0.5,3,0.08,1,0,487.4609375,330.34490966796875,14155.900390625,-92.68477630615234,-5.078125,-17.303747177124023,5000,0,21.26239013671875,300.8515625,237.99609375,118.4609375
7,final_stage07_0.10m,ws124a09,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.1,0.05,0.04,1500,200000000,35,0.5,3,0.08,0.7890625,0.2109375,450.0078125,246.2027587890625,11961.1640625,-152.89788818359375,-97.65625,-87.47871398925781,3945.3125,-42.1875,19.171327590942383,238.01953125,214.51171875,156.5390625
8,final_stage08_0.09m,9hz4rfvw,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.09,0.045,0.035,1500,200000000,35,0.5,3,0.08,0.9921875,0.0078125,472.484375,318.9850158691406,13749.0595703125,-115.41008758544922,-13.28125,-55.22404479980469,4960.9375,-1.5625,15.044011116027832,279.71484375,223.078125,121.9921875
9,final_stage09_0.08m,b4lvq30v,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.08,0.04,0.03,1500,200000000,35,0.5,3,0.08,0.984375,0.015625,474.8515625,330.357666015625,13895.9921875,-122.22175598144533,-11.71875,-20.3778076171875,4921.875,-3.125,12.757253646850586,311.8984375,240.9765625,104.6640625
10,final_stage10_0.07m,9n0x5ub1,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.07,0.035,0.028,1500,200000000,35,0.5,3,0.08,0.984375,0.015625,477.390625,328.7076416015625,13898.05078125,-153.246826171875,-22.65625,-9.783748626708984,4921.875,-3.125,12.325992584228516,319.671875,247.66796875,106.8359375
11,final_stage11_0.06m,px12f6yf,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.06,0.03,0.028,2000,200000000,35,0.5,3,0.08,0.9765625,0.0234375,476.84375,321.2769775390625,13787.6943359375,-161.26707458496094,-44.53125,-3.293438196182251,4882.8125,-4.6875,11.504323959350586,275.3359375,262.921875,111.3671875
12,final_stage12_0.055m,zs0aszt1,finished,e9869bc4e39682610d95fb6a64a06ffe3df0729b,0.055,0.0275,0.0275,2000,200000000,35,0.5,3,0.08,0,1,116.171875,45.42735290527344,3104.91162109375,-50.2418327331543,-21.09375,-11.162182807922363,0,-200,3.2548975944519043,64.59765625,75.640625,24.625
